Id,SectionId,LevelName,Type,VideoUrl,DateIssued
2093,9,2/20 - Q2 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2094,9,2/20 - Q1 - Torts Def,0,,1900-01-01 00:00:00.0000000
2095,9,10/19 - Q4 - Crim Law,0,,1900-01-01 00:00:00.0000000
2096,9,10/19 - Q3 - Torts,0,,1900-01-01 00:00:00.0000000
2097,9,10/19 - Q2 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2098,9,10/19 - Q1 - Crim Law,0,,1900-01-01 00:00:00.0000000
2099,9,7/19 - Q5 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2100,9,7/19 - Q4 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2101,9,7/19 - Q3 - Crim Pro & Law,0,,1900-01-01 00:00:00.0000000
2102,9,7/19 - Q2 - Con Law,0,,1900-01-01 00:00:00.0000000
2103,9,7/19 - Q1 - Fed Civ Pro,0,,1900-01-01 00:00:00.0000000
2104,9,6/19 - Q4 - Contracts,0,,1900-01-01 00:00:00.0000000
2105,9,6/19 - Q3 - Crim Law,0,,1900-01-01 00:00:00.0000000
2106,9,6/19 - Q2 - Contracts,0,,1900-01-01 00:00:00.0000000
2107,9,6/19 - Q1 - Torts,0,,1900-01-01 00:00:00.0000000
2108,9,2/19 - Q5 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2109,9,2/19 - Q4 - Fed Evidence,0,,1900-01-01 00:00:00.0000000
2110,9,2/19 - Q3 - Real Property,0,,1900-01-01 00:00:00.0000000
2111,9,2/19 - Q2 - Torts,0,,1900-01-01 00:00:00.0000000
2112,9,"2/19 - Q1 - Wills, Trusts, CP",0,,1900-01-01 00:00:00.0000000
2113,9,10/18 - Q4 - Crim Law,0,,1900-01-01 00:00:00.0000000
2114,9,10/18 - Q3 - Torts,0,,1900-01-01 00:00:00.0000000
2115,9,10/18 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2116,9,10/18 - Q1 - Contracts,0,,1900-01-01 00:00:00.0000000
2117,9,7/18 - Q5 - Con Law,0,,1900-01-01 00:00:00.0000000
2118,9,7/18 - Q4 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2119,9,7/18 - Q3 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2120,9,7/18 - Q2 - CA Evidence,0,,1900-01-01 00:00:00.0000000
2121,9,7/18 - Q1 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2122,9,6/18 - Q4 - Crim Law,0,,1900-01-01 00:00:00.0000000
2123,9,6/18 - Q3 - Contracts,0,,1900-01-01 00:00:00.0000000
2124,9,6/18 - Q2 - Torts Law Mal,0,,1900-01-01 00:00:00.0000000
2125,9,6/18 - Q1 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2126,9,2/18 - Q5 - Wills,0,,1900-01-01 00:00:00.0000000
2127,9,2/18 - Q4 - Crimes,0,,1900-01-01 00:00:00.0000000
2128,9,2/18 - Q3 - Real Prop,0,,1900-01-01 00:00:00.0000000
2129,9,2/18 - Q2 - Con Law,0,,1900-01-01 00:00:00.0000000
2130,9,2/18 - Q1 - PR & Contracts,0,,1900-01-01 00:00:00.0000000
2131,9,10/17 - Q4 - Torts,0,,1900-01-01 00:00:00.0000000
2132,9,10/17 - Q3 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
